country;city
Japan;Tokyo
Japan;Osaka
France;Paris
Japan;Nagoya
Canada;Toronto
Japan;Yokohama
Canada;Montreal
Japan;Fukuoka
Canada;Vancouver
Japan;Sapporo
Japan;Kawasaki
Japan;Kobe
Japan;Kyoto
Japan;Saitama
Canada;Calgary
Japan;Hiroshima
Canada;Edmonton
Japan;Sendai
Canada;Ottawa
Canada;Winnipeg
Canada;Quebec City
Canada;Kitchener
Canada;Halifax
Canada;Victoria
Japan;Chiba
Japan;Setagaya
Japan;Kitakyushu
France;Marseille
Japan;Sakai
Japan;Niigata
Japan;Hamamatsu
Japan;Nerima
Japan;Ota-ku
Japan;Kumamoto
Japan;Sagamihara
Canada;Mississauga
Japan;Okayama
Japan;Edogawa
Japan;Adachi
Canada;Hamilton
Japan;Shizuoka
Japan;Honcho
Japan;Kawaguchi
Japan;Itabashi
Japan;Suginami-ku
Japan;Kagoshima
Canada;Brampton
Japan;Hachioji
Japan;Koto-ku
France;Lyon
Japan;Himeji
Japan;Utsunomiya
Canada;Surrey
Japan;Matsuyama
Japan;Ichikawa
Japan;Matsudo
Japan;Higashi-osaka
Japan;Nishinomiya-hama
France;Toulouse
Japan;Oita
Japan;Kurashiki
Japan;Katsushika-ku
Japan;Kanazawa
Japan;Fukuyama
Japan;Amagasaki
Japan;Fujisawa
Japan;Machida
Japan;Kashiwa
Japan;Shinagawa-ku
Japan;Aomori
Canada;Laval
Japan;Toyota
Japan;Takamatsu
Japan;Toyama
Japan;Toyonaka
Japan;Nagasaki
Japan;Hirakata
Japan;Gifu
Japan;Miyazaki
Japan;Minamisuita
Japan;Yokosuka
Japan;Okazaki
Canada;London
Japan;Ichinomiya
Japan;Toyohashi
Japan;Kita-ku
Japan;Takasaki
Japan;Nagano
Japan;Shinjuku
Japan;Nakano
Japan;Kawagoe
Japan;Wakayama
Japan;Nara
Japan;Koshigaya
Japan;Takatsuki
Japan;Tokorozawa
France;Nice
Japan;Otsu
Japan;Iwaki
Japan;Hirosaki
Japan;Maebashi
Japan;Asahikawa
Japan;Koriyama
Canada;Markham
Japan;Kochi
Japan;Naha
France;Nantes
Japan;Toshima
Japan;Yokkaichi
Japan;Kasugai
Canada;St. Catharines
Canada;Niagara Falls
Japan;Meguro
Canada;Vaughan
Japan;Oakashicho
Japan;Kurume
Japan;Akita
France;Montpellier
Japan;Sumida
Japan;Morioka
France;Strasbourg
Japan;Ibaraki
Japan;Fukushima
Canada;Gatineau
Canada;Windsor
Japan;Tsu
Japan;Minato
Japan;Fuchu
Japan;Mito
Japan;Ichihara
Japan;Yao
Japan;Nagaoka
Japan;Kakogawacho-honmachi
France;Bordeaux
Japan;Hiratsuka
Japan;Fukui
Japan;Soka
Japan;Bunkyo-ku
Japan;Tokushima
Japan;Shinozaki
Japan;Hakodate
Japan;Chofugaoka
Japan;Shibuya-ku
Japan;Chigasaki
Japan;Yato
Japan;Yamagata
Japan;Tsukuba-kenkyugakuen-toshi
Canada;Saskatoon
Japan;Fuji
Japan;Sasebo
France;Lille
Japan;Arakawa
Canada;Longueuil
Japan;Matsumoto
Japan;Neya
Japan;Saga
Canada;Burnaby
Japan;Kasukabe
Japan;Ageoshimo
Japan;Taito
Japan;Takarazuka
Japan;Atsugicho
Japan;Ota
France;Rennes
Japan;Hachinohe
Japan;Nishitokyo
Canada;Regina
Japan;Kure
Japan;Isesaki
Japan;Kodaira
Japan;Itami
Japan;Kamirenjaku
Japan;Nagareyama
Japan;Yachiyo
Japan;Matsue
Canada;Richmond
Japan;Higashi-Hiroshima
Japan;Hino
Japan;Suzuka
Canada;Richmond Hill
Japan;Kumagaya
Japan;Yamaguchi
Canada;Oakville
Japan;Anjomachi
Japan;Odawara
Japan;Kishiwada
Japan;Numazu
Japan;Tachikawa
Japan;Kofu
Japan;Tottori
Japan;Joetsu
France;Reims
Japan;Toyokawa
Japan;Chuo-ku
Japan;Narashino
Canada;Burlington
Japan;Uji
France;Toulon
Japan;Urayasu
Japan;Kamakurayama
France;Saint-Etienne
Japan;Hitachi
France;Le Havre
Canada;Barrie
Japan;Izumo
Japan;Niiza
Japan;Sakura
Japan;Tomakomai
Japan;Nishio
Japan;Oyama
Japan;Iwata
Japan;Takaoka
France;Grenoble
Canada;Oshawa
Japan;Obihiro
Japan;Hadano
Japan;Kushiro
Japan;Ube
Japan;Musashino
Canada;Sherbrooke
France;Villeurbanne
France;Dijon
Japan;Miyakonojo
Japan;Higashimurayama
Japan;Ogaki
Japan;Matsuzaka
France;Angers
Japan;Kariya
Japan;Hitachi-Naka
Japan;Tama
Japan;Tochigi
Japan;Noda
Japan;Ueda
Japan;Moriguchi
Japan;Kawashiri
Japan;Kukichuo
Japan;Asaka
Japan;Sayama
France;Nimes
Japan;Komaki
Japan;Toda
France;Clermont-Ferrand
Japan;Imabari
Japan;Iruma
Japan;Yonago
Japan;Misato
France;Le Mans
