symbol;synonym
DM;dm
DM;dem
DM;deutsche mark
DM;deutscher mark
DM;deutschmark
USD;usd
USD;us dollar
USD;us-dollar
USD;dollar
USD;dollar usa
USD;dollar americain
USD;dollar americano
USD;\\$
EUR;eur
EUR;€
FRF;fr
FRF;francs
FRF;francs francais
FRF;francs français
FRF;francs français
FRF;₣
GBP;gbp
GBP;pound
GBP;pound sterling
GBP;livre sterling
GBP;libra esterlina
GBP;libra esterlina
GBP;£
CAD;cad
CAD;canadian dollar
CAD;dollar canadien
CAD;dollar canadiense
CAD;dollar canadian
CAD;\\$
CAD;dollar
JPY;jpy
JPY;yen
JPY;yen japonais
JPY;yen japonés
JPY;¥
